days_range,price,title,volume
"83,000.00 - 85,400.00","85,300.00","Samsung Electronics Co., Ltd. (005930.KS)","33,708,989"
days_range,price,title,volume
"83,000.00 - 85,400.00","85,300.00","Samsung Electronics Co., Ltd. (005930.KS)","33,708,989"
